6.916125525127757301e-02 1.673437058925628662e-01
5.972885001789440124e-02 1.670710146427154541e-01
5.395695296200839208e-02 1.668482422828674316e-01
4.955975575880570971e-02 1.664134413003921509e-01
4.599047655409032459e-02 1.656211167573928833e-01
4.286800595847042872e-02 1.644279956817626953e-01
3.988344425504857654e-02 1.627821624279022217e-01
3.772496228868311291e-02 1.606887280941009521e-01
3.536664626815102380e-02 1.581943184137344360e-01
3.329674628647891210e-02 1.552453637123107910e-01
